date,SKU,qty,tavg,prcp,tsun,sale_percent,weather_label,sale_active
2024-01-27,92052,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,92038,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,sw100184,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,ga10313,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,sz21011,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,92022,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,ga10162,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,sz11021,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,9110dx,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,ga1028sf,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,ga10263,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,sw100041,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,9313sf,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,9104sf,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,ga10163,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,ga1021sf,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,92028,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,sw100183,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,9115dx,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,ga10312,1.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,92066,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,9109ub,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,9103dx,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,9106sf,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,sw100044,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,9314fz,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,9108ub,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,92016,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,9101dx,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,9107dx,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,ga1017sf,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,9316ub,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,9203,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,ga10301,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,sz11032,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,9314dx,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,sz11031,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,9101fz,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,9107ub,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,92058,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,ga10112,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,9312ub,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,ga10292,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,9101ub,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,9210,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,9107fz,0.0,3.0,0.0,510.0,0.24,sun,True
